sentence number,sentence,value (0/1)
554,"MUTAZIONI FLT-3 (D385) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.2 ANALISI DEL DNA PER POLIMORFISMO; Con reazione polimerasica a catena, digestione enzimatica ed elettroforesi.",,
555,MUTAZIONI FLT-3 (ITD) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) 91.29.3 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e elettroforesi.,,
556,MUTAZIONI NUCLEOFOSMINA TEST QUALITATIVO Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.3.03 ANALISI DI SEGMENTI DI DNA MEDIANTE SEQUENZIAMENTO; (Blocchi di circa 400 bp).,,
557,MUTAZIONI NUCLEOFOSMINA TEST QUANTITATIVO Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.4 ANALISI DI MUTAZIONE DEL DNA ; Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
558,TARIFFA,,
559,MATERIALE BIOLOGICO,,
560,APPROPRIATEZZA PRESCRITTIVA,,
561,"139,00",,
562,Sangue,,
563,Nella Leucemia Acuta è marcatore molecolare di prognosi e risposta alla terapia.,,
564,"216,00",,
565,Sangue,,
566,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
567,"388,00",,
568,Sangue,,
569,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
570,"696,00",,
571,Sangue,,
572,Nella Leucemia Acuta è marcatore molecolare di prognosi e risposta alla terapia.,,
573,"149,00",,
574,Sangue,,
575,Nella Leucemia Acuta è marcatore molecolare di prognosi e risposta alla terapia.,,
576,"139,00",,
577,Sangue,,
578,Nella Leucemia Acuta è marcatore molecolare di prognosi e risposta alla terapia.,,
579,"373,00",,
580,Sangue,,
581,Nella Leucemia Acuta è marcatore molecolare di prognosi e risposta alla terapia.,,
582,"388,00",,
583,Sangue,,
584,Nella Leucemia Acuta è marcatore molecolare di prognosi e risposta alla terapia.,,
585,Bollettino Ufficiale,,
586,– 20 – Serie Ordinaria n. 5 - Lunedì 28 gennaio 2013 CODICE 91.2B.6,,
587,91.2B.7,,
588,91.2B.8,,
589,91.2B.9,,
590,91.2C.1,,
591,91.2C.2,,
592,91.2C.3,,
593,91.2C.4,,
594,91.2C.5,,
595,91.2C.6,,
596,91.2C.7,,
597,91.2C.8,,
598,91.2C.9,,
599,DESCRIZIONE RIARRANGIAMENTO IgH TEST QUALITATIVO Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.3 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e elettroforesi.,,
600,RIARRANGIAMENTO IgH TEST QUANTITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.4 ANALISI DI MUTAZIONE DEL DNA ; Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
601,RIARRANGIAMENTO IgK TEST QUALITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.3 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e elettroforesi.,,
602,RIARRANGIAMENTO IgK TEST QUANTITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.4 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
603,RIARRANGIAMENTO TCR B TEST QUANTITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.4 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
604,RIARRANGIAMENTO TCR D TEST QUANTITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.4 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
605,RIARRANGIAMENTO TCR G TEST QUANTITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.4 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
606,RIARRANGIAMENTO TCR B TEST QUALITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.3 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e elettroforesi.,,
607,RIARRANGIAMENTO TCR D TEST QUALITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.3 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e elettroforesi.,,
608,RIARRANGIAMENTO TCR G TEST QUALITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.3 ANALISI DI MUTAZIONE DEL DNA ; Con reazione polimerasica a catena e elettroforesi.,,
609,T(1;19) TEST QUALITATIVO Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) 91.29.3 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e elettroforesi.,,
610,T(1;19) TEST QUANTITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.4 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
611,T(12;21) TEST QUALITATIVO Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) 91.29.3 ANALISI DI MUTAZIONE DEL DNA ; Con reazione polimerasica a catena e elettroforesi.,,
612,TARIFFA in euro,,
613,MATERIALE BIOLOGICO,,
614,APPROPRIATEZZA PRESCRITTIVA,,
615,"216,00",,
616,Sangue,,
617,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
618,"388,00",,
619,Sangue,,
620,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
621,"216,00",,
622,Sangue,,
623,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
624,"388,00",,
625,Sangue,,
626,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
627,"388,00",,
628,Sangue,,
629,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
630,"388,00",,
631,Sangue,,
632,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
633,"388,00",,
634,Sangue,,
635,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
636,"216,00",,
637,Sangue,,
638,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
639,"216,00",,
640,Sangue,,
641,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
642,"216,00",,
643,Sangue,,
644,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
645,"139,00",,
646,Sangue,,
647,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
648,"388,00",,
649,Sangue,,
650,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
651,"139,00",,
652,Sangue,,
653,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
654,Bollettino Ufficiale,,
655,– 21 – Serie Ordinaria n. 5 - Lunedì 28 gennaio 2013,,
656,CODICE,,
657,91.2D.1,,
658,91.2D.2,,
659,91.2D.3,,
660,91.2D.4,,
661,91.2D.5,,
662,91.2D.6,,
663,91.2D.7,,
664,91.2D.8,,
665,91.2D.9,,
666,91.2F.1,,
667,91.2F.2,,
668,91.2F.3,,
669,91.2F.4,,
670,DESCRIZIONE T(12;21) TEST QUANTITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.4 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
671,T(4;11) TEST QUALITATIVO Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) 91.29.3 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e elettroforesi.,,
672,T(4;11) TEST QUANTITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.4 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
673,T(8;21) TEST QUALITATIVO Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) 91.29.3 ANALISI DI MUTAZIONE DEL DNA ; Con reazione polimerasica a catena e elettroforesi.,,
674,T(8;21) TEST QUANTITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.4 ANALISI DI MUTAZIONE DEL DNA ; Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
675,WILMS TUMOR1 TEST QUANTITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.4 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
676,MUTAZIONI GENE IgHV Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.3.03 ANALISI DI SEGMENTI DI DNA MEDIANTE SEQUENZIAMENTO; (Blocchi di circa 400 bp).,,
677,T(9;22) TEST QUALITATIVO Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale)91.29.3 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e elettroforesi.,,
678,T(9;22) TEST QUANTITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.4 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
679,T(15;17) TEST QUALITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.3 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e elettroforesi.,,
680,T(15;17) TEST QUANTITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.4 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
681,ANALISI MICROSATELLITI TX-ETEROLOGO Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) 91.29.3 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e elettroforesi.,,
682,T(11;14) Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) 91.29.3 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e elettroforesi.,,
683,TARIFFA in euro,,
684,MATERIALE BIOLOGICO,,
685,APPROPRIATEZZA PRESCRITTIVA,,
686,"388,00",,
687,Sangue,,
688,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
689,"139,00",,
690,Sangue,,
691,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
692,"388,00",,
693,Sangue,,
694,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
695,"139,00",,
696,Sangue,,
697,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
698,"388,00",,
699,Sangue,,
700,Nella Leucemia Acuta è marcatore molecolare di diagnosi e risposta alla terapia.,,
701,"388,00",,
702,Sangue,,
703,Nella Leucemia Acuta è marcatore molecolare di prognosi e risposta alla terapia.,,
704,"485,00",,
705,Sangue,,
706,"216,00",,
707,Sangue,,
708,"388,00",,
709,Sangue,,
710,Nella Leucemia Mieloide Cronica è marcatore molecolare di diagnosi e risposta alla terapia con Glivec.,,
711,"216,00",,
712,Sangue,,
713,Nella Leucemia Promielocitica è marcatore molecolare di diagnosi e risposta alla terapia.,,
714,"388,00",,
715,Sangue,,
716,Nella Leucemia Promielocitica è marcatore molecolare di diagnosi e risposta alla terapia.,,
717,"139,00",,
718,Sangue,,
719,In Leucemia/Linfoma è marcatore molecolare di attecchimento delle cellule staminali midollari.,,
720,"139,00",,
721,Sangue,,
722,Nel Linfoma Non Hodgkin è marcatore molecolare per Linfoma Non Hodgkin di tipo mantellare.,,
723,Nella Leucemia Linfatica Cronica è marcatore molecolare di prognosi e fattore predittivo di sopravvivenza.,,
724,Nella Leucemia Mieloide Cronica è marcatore molecolare di diagnosi e risposta alla terapia con Glivec.,,
725,Bollettino Ufficiale,,
726,– 22 – Serie Ordinaria n. 5 - Lunedì 28 gennaio 2013 CODICE 91.2F.5,,
727,91.2F.6,,
728,91.2F.7,,
729,91.2F.8,,
730,91.2A.1,,
731,91.2A.2,,
732,91.2A.3,,
733,91.2A.4,,
734,91.2A.5,,
735,91.2A.6,,
736,TARIFFA in euro,,
737,DESCRIZIONE T(14;18) TEST QUALITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.3 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e elettroforesi.,,
738,T814;18) TEST QUANTITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.4 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
739,MUTAZIONE JAK2 V617F TEST QUALITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.3 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e elettroforesi.,,
740,MUTAZIONE JAK2 V617F TEST QUANTITATIVO Incluso 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale); 91.29.4 ANALISI DI MUTAZIONE DEL DNA; Con reazione polimerasica a catena e ibridazione con sonde non radiomarcate.,,
741,"MUTAZIONE DI KRAS Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.3 ANALISI DI SEGMENTI DI DNA MEDIANTE SEQUENZIAMENTO (Blocchi di circa 400 bp).",,
742,"MUTAZIONE DI BRAF Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.3 ANALISI DI SEGMENTI DI DNA MEDIANTE SEQUENZIAMENTO (Blocchi di circa 400 bp).",,
743,"MUTAZIONE DI PIK3CA Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.3 ANALISI DI SEGMENTI DI DNA MEDIANTE SEQUENZIAMENTO (Blocchi di circa 400 bp).",,
744,"MUTAZIONE DI PDGFRA Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.3 ANALISI DI SEGMENTI DI DNA MEDIANTE SEQUENZIAMENTO (Blocchi di circa 400 bp).",,
745,"MUTAZIONE DI C-KIT Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.3 ANALISI DI SEGMENTI DI DNA MEDIANTE SEQUENZIAMENTO (Blocchi di circa 400 bp).",,
746,"MUTAZIONE DI EGFR Incluso: 91.36.5 ESTRAZIONE DI DNA O DI RNA (nucleare o mitocondriale) Da sangue periferico, tessuti, colture cellulari, villi coriali; 91.30.3 ANALISI DI SEGMENTI DI DNA MEDIANTE SEQUENZIAMENTO (Blocchi di circa 400 bp).",,
747,——— • ———,,
748,MATERIALE BIOLOGICO,,
749,APPROPRIATEZZA PRESCRITTIVA,,
750,"216,00",,
751,Sangue,,
752,Nel Linfoma Non Hodgkin è marcatore molecolare per Linfoma Non Hodgkin follicolare.,,
753,"388,00",,
754,Sangue,,
755,Nel Linfoma Non Hodgkin follicolare è marcatore molecolare di prognosi e risposta alla terapia.,,
756,"216,00",,
757,Sangue,,
758,Nella malattie Mieloproliferative Croniche è marcatore molecolare diagnostico.,,
759,"388,00",,
760,Sangue,,
761,Nella malattie Mieloproliferative Croniche è marcatore molecolare diagnostico.,,
762,"274,00",,
763,Tessuto tumorale,,
764,Nel carcinoma del Colon o Retto metastatico la mutazione è indicatore di resistenza a Panitumumab e Cetuximab.,,
765,"274,00",,
766,Tessuto tumorale,,
767,Nel carcinoma del Colon o Retto metastatico la mutazione V600E è indicatore di resistenza a Panitumumab e Cetuximab.,,
768,Nel melanoma metastatico la mutazione V600E è indicatore di sensibilità/resistenza a Vemurafenib.,,
769,"485,00",,
770,Tessuto tumorale,,
771,Nel carcinoma del Colon o Retto metastatico la mutazione può essere indicatore di resistenza a Panitumumab e Cetuximab.,,
772,"908,00",,
773,Tessuto tumorale,,
774,Nei Tumori stromali del tratto gastrointestinale (GIST) la mutazione è indicatore di Sensibilità/Resistenza a Glivec.,,
775,"696,00",,
776,Tessuto tumorale,,
777,Nei Tumori stromali del tratto gastrointestinale (GIST) la mutazione è indicatore di Sensibilità/Resistenza a Glivec.,,
778,"908,00",,
779,Tessuto tumorale,,
780,"Nel carcinoma del Polmone non-a-Piccole Cellule (NSCLC) La mutazione degli esoni 18, 19 o 21 è indicatore di sensibilità a Erlotinib-Gefitinib.",,
781,Bollettino Ufficiale,,
782,– 23 – Serie Ordinaria n. 5 - Lunedì 28 gennaio 2013 ALLEGATO C,,
783,"PROCEDURA RICHIESTA ED ACCETTAZIONE PRESTAZIONI DI GENETICA MEDICA DI CUI ALL’ALLEGATO B Al fine di assicurare che la prescrizione di queste prestazioni avvenga in un contesto che garantisca l’appropriatezza delle stesse ed una reale presa in carico delle problematiche dei pazienti è opportuno che le prescrizioni originino sempre da uno specialista e che venga acquisito anche il “consenso informato”, di cui sarà prodotto dalla DG Sanità un fax-simile.",,
784,"Le prestazioni possono essere richieste per conto del SSR dai medici specialisti in possesso del ricettario regionale e dai medici di medicina generale, sempre a seguito di indicazione specialistica.",,
785,"Medici specialisti Per medici specialisti si intendono:  quelli in possesso della specializzazione in “Genetica medica” o titolo equipollente; questi medici possono richiedere tutte le prestazioni di Genetica Medica di cui all’allegato B;  gli “specialisti” della branca a cui fanno riferimento le prestazioni richieste (ad es. i gastroenterologi per le prestazioni riguardanti la diagnosi di celiachia, gli ematologi e gli oncologi per le patologie di loro pertinenza, i neurologi nel caso di prestazioni per patologie neurologiche, ecc.)",,
786,"Lo specialista, oltre a compilare l’impegnativa, completa di quesito diagnostico, acquisisce il “consenso informato” in duplice copia.",,
787,Una copia viene trattenuta dallo specialista e una è consegnata all’utente.,,
788,"Quando l’utente si presenta al Laboratorio per il prelievo consegna sia l’impegnativa sia il consenso informato che vengono conservati dal laboratorio/ente che ha accettato la richiesta, anche nel caso in cui la prestazione venga fatta eseguire in “service”.",,
789,"Medici di medicina generale Se la richiesta di prestazioni di Genetica Medica, è eseguita da un Medico di Medicina generale deve contenere in modo obbligatorio anche la prestazione “Prima visita di genetica medica” cod. tariffario 89.7B.1.",,
790,Sarà lo specialista a verificare la richiesta e a compilare la modulistica del “consenso informato” che sarà utilizzata come descritto nel precedente capoverso.,,
791,"In regime di ricovero le prestazioni sono richieste dal medico che ha in carico il paziente (ematologo, oncologo, ecc.) o dall’Anatomo Patologo a cui è stato inviato il tessuto tumorale, in accordo con il medico di riferimento.",,
792,"Le richieste non a carico del SSR possono essere fatte dagli specialisti di cui al capoverso soprariportato, che dovranno in ogni caso acquisire il “consenso informato” che dovrà essere consegnato dall’utente al laboratorio accettante.",,
